service,port
iiimsf,50002
sgmp,153
nextstep,178
zannet,317
hp-managed-node,382
tn-tl-fd1,476
chshell,562
ipcd,576
bootclient,2017
sun-manageconsole,898
glogger,2033
msdtc,3372
secureidprop,5510
mrm,679
pana,716
bnetfile,1120
saphostctrls,1129
dfn,1133
audit-transfer,1146
atc-lm,1170
unet,1189
fiveacross,1193
vpnz,1224
slinkysearch,1225
stgxfws,1226
dns2go,1227
menandmice-lpm,1231
q55-pcc,1253
de-cache-query,1255
ibm-ssd,1260
watilapp,1269
cmmdriver,1294
ehtp,1295
dx-instrument,1325
wmc-log-svc,1338
esbroker,1342
icap,1344
livelan,1555
chip-lm,1572
moldflow-lm,1576
ioc-sea-lm,1579
pra_elmd,1587
vqp,1589
radio-bc,1596
orbplus-iiop,1597
simbaservices,1599
slm-api,1606
smart-lm,1608
taurus-wh,1610
netbill-prod,1616
skytelnet,1618
softdataphone,1621
jaleosnd,1623
shockwave,1626
lontalk-norm,1628
visitview,1631
pammrpc,1633
cert-initiator,1639
cert-responder,1640
rsap,1647
prolink,1678
rrifmm,1696
csbphonemaster,1724
iberiagames,1726
citynl,1729
siipat,1733
encore,1740
cinegrfx-lm,1743
cft-5,1766
cft-6,1767
kmscontrol,1773
pharmasoft,1779
funk-logger,1786
vocaltec-admin,1796
tdp-suite,1814
mmpft,1815
etftp,1818
es-elmd,1822
metrics-pas,1824
ardt,1826
netopia-vo3,1841
fiorano-msgsvc,1856
fjmpjps,1873
ibm-mqisdp,1883
ncconfig,1888
childkey-notif,1891
cymtec-port,1898
tpmd,1906
tapestry,1922
amdsched,1931
ismaeasdaqtest,1950
unix-status,1957
simp-all,1959
biap-mp,1962
slush,1966
lipsinc,1968
e-dpnet,2036
bmc-messaging,2059
newlixengine,2075
newlixconfig,2076
tsrmagt,2077
nbx-cc,2093
zephyr-srv,2102
index-pc-wb,2127
avantageb2b,2131
appworxsrv,2136
unbind-cluster,2138
navisphere,2162
brain,2169
cgn-stat,2182
onbase-dds,2185
rpi,2214
gotodevice,2217
rockwell-csp1,2221
di-drm,2226
optech-port1-lm,2237
imagequery,2239
recipe,2240
nmsserver,2244
hao,2245
pc-mta-addrmap,2246
antidotemgrsvr,2247
rfmp,2249
rcts,2258
apx500api-1,2264
mfserver,2266
mysql-im,2273
xmquery,2279
lnvstatus,2283
attachmate-g32,2317
infolibria,2319
siebel-ns,2320
cosmocall,2324
xingcsm,2327
netrix-sftm,2328
rcc-host,2332
ace-client,2334
manage-exec,2342
pslserver,2352
nexstorindltd,2360
oi-2000,2364
virtualtape,2386
tacticalauth,2392
lan900_remote,2395
jediserver,2406
cdn,2412
composit-server,2417
ft-role,2429
dtn1,2445
rapido-ip,2457
vitalanalysis,2474
pns,2487
tsilb,2489
bmc-ar,2494
nms-dpnss,2503
fjmpss,2509
fjappmgrbulk,2510
citrixima,2512
facsys-router,2515
optiwave-lm,2524
iqserver,2527
snifferserver,2533
vnwk-prapi,2538
vsiadmin,2539
udrawgraph,2542
reftek,2543
vytalvaultbrtp,2546
call-logging,2552
compaq-wcp,2555
lstp,2559
argis-ds,2582
quartus-tcl,2589
netrek,2592
servicemeter,2603
qpasa-agent,2612
smntubootstrap,2613
firepower,2615
priority-e-com,2618
blwnkl-port,2625
sitaraserver,2629
pk-electronics,2634
backburner,2635
hdl-srv,2641
and-lm,2646
vpsipport,2649
sns-dispatcher,2657
bintec-capi,2662
patrol-mq-gm,2664
extensis,2666
alarm-clock-s,2667
firstcall42,2673
gadgetgate1way,2677
gadgetgate2way,2678
admins-lms,2692
vspread,2695
sms-remctrl,2704
sds-admin,2705
banyan-net,2708
supermon,2709
scan-change,2719
wkars,2720
tams,2726
srp-feedback,2737
tn-timing,2739
fjippol-cnsl,2749
qip-audup,2765
uadtc,2767
vergencecm,2771
rbakcup1,2773
ridgeway2,2777
whosells,2781
media-agent,2789
mtport-regist,2791
esp-encap,2797
igcp,2801
btprjctrl,2803
llm-pass,2813
cqg-netlan-1,2824
slc-systemlog,2826
silkp3,2831
repliweb,2837
msrp,2855
dialpad-voice1,2860
astromed-main,2864
pit-vpn,2865
dxmessagebase1,2874
bluelance,2877
aap,2878
synapse,2880
ndsp,2881
ndnp,2883
flashmsg,2884
topflow,2885
elvin_server,2916
roboer,2919
redstone-cpss,2928
incp,2932
sm-pas-3,2940
esip,2950
ottp,2951
ovrimosdbman,2956
bullant-srap,2964
essp,2969
index-net,2970
pmsm-webrctl,2972
veritas-vis2,2994
vsixml,2996
hagel-dump,3036
di-ase,3046
interserver,3060
cautcpd,3061
netattachsdmp,3066
fjhpjp,3067
orbix-locator,3075
orbix-config,3076
chmd,3099
autocuetime,3104
sim-control,3110
cs-auth-svr,3113
netbookmark,3131
rfio,3147
nm-game-admin,3148
indura,3156
tip-app-server,3160
newgenpay,3165
serverview-as,3169
serverview-asn,3170
serverview-icc,3173
h2gf-w-2m,3179
cpq-tasksmart,3201
netwatcher-mon,3203
surveyinst,3212
dwmsgserver,3228
vieo-fe,3245
pda-sys,3254
cpqrpm-agent,3256
altav-tunnel,3265
user-manager,3272
sxmp,3273
lkcmserver,3278
admind,3279
enpc,3289
fg-fps,3293
cdid,3315
vnsstr,3321
mcs-messaging,3331
directv-soft,3335
directv-catlg,3337
anet-l,3339
suitjd,3354
creativepartnr,3366
sns-channels,3380
geneous,3381
esp-lm,3383
hp-clic,3384
gprs-sig,3386
savant,3391
efi-lm,3392
nokia-ann-ch2,3406
BESApi,3408
rusb-sys-port,3422
xtrm,3423
twcss,3428
gcsp,3429
ans-console,3440
connect-server,3442
denali-server,3444
3comfaxrpc,3446
hotu-chat,3449
edm-std-notify,3462
rcst,3467
ttntspauto,3474
plethora,3480
vulture,3482
ltcudp,3487
sccip-media,3499
nesh-broker,3507
nssocketport,3522
ni-visa-remote,3537
ibm-diradm,3538
razor,3555
megardsvr-port,3571
tag-ups-1,3573
ccm-port,3575
gtrack-server,3591
mediaspace,3594
shareapp,3595
comcam-io,3605
splitlock,3606
cpdi-pidas-cm,3609
hp-dataprotect,3612
sigma-port,3614
aairnet-2,3619
ep-pcp,3620
dist-upgrade,3624
audiojuggler,3643
nmmp,3649
prismiq-plugin,3650
ent-engine,3665
dell-rm-port,3668
efcp,3671
intelsync,3692
sagectlpanel,3698
ca-idms,3709
portgate-auth,3710
na-er-tip,3725
synel-data,3734
sasg,3744
gprs-cube,3751
haipe-otnk,3769
paging-port,3771
zicom,3774
dvcprov-port,3776
bim-pem,3783
lansurveyorxml,3815
zfirm-shiprush3,3841
softrack-meter,3884
topflow-ssl,3885
namemunge,3950
xmlink-connect,3953
p2pcommunity,3955
lanrevagent,3970
